Panel,Period,Age_Group,Model_Type,IRR,CI_Lower,CI_Upper,P_Value
A,P1,Overall,Acute-only,1.136,1.020,1.264,0.020
A,P1,Pediatric (0-19),Acute-only,0.951,0.444,2.037,0.897
A,P1,Adults (20-64),Acute-only,1.155,1.006,1.326,0.041
A,P1,Elderly (≥65),Acute-only,1.086,0.911,1.293,0.359
A,P2,Overall,Acute-only,1.384,1.172,1.635,<0.001
A,P2,Pediatric (0-19),Acute-only,1.192,0.794,1.790,0.398
A,P2,Adults (20-64),Acute-only,1.348,1.080,1.683,0.008
A,P2,Elderly (≥65),Acute-only,1.518,1.119,2.061,0.007
B,P1,Overall,Cumulative (joint),0.998,0.976,1.020,0.824
B,P1,Pediatric (0-19),Cumulative (joint),1.012,0.846,1.212,0.894
B,P1,Adults (20-64),Cumulative (joint),0.986,0.959,1.015,0.337
B,P1,Elderly (≥65),Cumulative (joint),1.013,0.979,1.049,0.461
B,P2,Overall,Cumulative (joint),1.193,1.151,1.235,<0.001
B,P2,Pediatric (0-19),Cumulative (joint),1.309,1.198,1.430,<0.001
B,P2,Adults (20-64),Cumulative (joint),1.166,1.115,1.219,<0.001
B,P2,Elderly (≥65),Cumulative (joint),1.184,1.110,1.263,<0.001
